"","subnum","food1","food2","food3","answer","rt"
"2411","sub-287","jelly_bean_7","pineapple_6","cinnamon_roll_7","jelly_bean_7",283
"2412","sub-287","mushroom_8","rice_5","cookie_7","mushroom_8",678
"2413","sub-287","rice_5","soup_7","chips_1","soup_7",968
"2415","sub-287","strawberry_1","doughnut_6","sausage_1","doughnut_6",1257
"2416","sub-287","gummy_bear_3","cauliflower_3","rice_5","cauliflower_3",752
"2418","sub-287","candy_cane_5","gummy_bear_3","grilled_cheese_4","candy_cane_5",1953
"2419","sub-287","squash_6","mac_and_cheese_7","onion_ring_2","squash_6",3812
"2442","sub-288","cauliflower_3","french_fries_5","mac_and_cheese_7","cauliflower_3",2942
"2443","sub-288","jelly_bean_7","tomato_1","onion_ring_2","jelly_bean_7",2232
"2444","sub-288","strawberry_1","tomato_1","fried_chicken_7","fried_chicken_7",1674
"2445","sub-288","gummy_bear_3","cauliflower_3","mac_and_cheese_7","gummy_bear_3",2056
"2446","sub-288","gummy_bear_3","bean_8","soup_7","gummy_bear_3",1864
"2447","sub-288","raspberry_2","muffin_8","bacon_2","raspberry_2",4915
"2448","sub-288","potato_6","chips_1","onion_ring_2","potato_6",3588
"2449","sub-288","squash_6","bacon_2","chips_1","chips_1",4317
"2451","sub-288","strawberry_1","ice_cream_1","mac_and_cheese_7","mac_and_cheese_7",1578
"2452","sub-288","squash_6","fried_chicken_7","onion_ring_2","squash_6",2030
"2454","sub-288","cauliflower_3","cake_7","fried_chicken_7","cake_7",2718
"2455","sub-288","popsicle_2","muffin_8","pie_4","muffin_8",1844
"2456","sub-288","apple_3","candy_cane_5","squash_6","candy_cane_5",2334
"2457","sub-288","crepe_2","muffin_8","grilled_cheese_4","muffin_8",3532
"2458","sub-288","popsicle_2","crepe_2","grilled_cheese_4","popsicle_2",1739
"2459","sub-288","strawberry_1","pie_4","chips_1","chips_1",4462
"2460","sub-288","bean_8","cookie_7","muffin_8","bean_8",1621
"2461","sub-288","mushroom_8","crepe_2","ice_cream_1","mushroom_8",2221
"2462","sub-288","chocolate_candy_4","mac_and_cheese_7","sausage_1","chocolate_candy_4",1611
"2463","sub-288","candy_cane_5","strawberry_1","bean_8","bean_8",2368
"2464","sub-220","strawberry_1","soup_7","sausage_1","strawberry_1",4435
"2465","sub-220","apple_3","watermelon_6","tomato_1","tomato_1",2406
"2466","sub-220","pineapple_6","soup_7","doughnut_6","soup_7",4840
"2468","sub-220","gummy_bear_3","cinnamon_roll_7","muffin_8","gummy_bear_3",3868
"2469","sub-220","cake_7","crepe_2","sausage_1","sausage_1",2547
"2470","sub-220","popsicle_2","cookie_7","chips_1","chips_1",1544
"2471","sub-220","tomato_1","cinnamon_roll_7","french_fries_5","cinnamon_roll_7",3641
"2472","sub-220","apple_3","strawberry_1","soup_7","soup_7",1675
"2473","sub-220","mushroom_8","chips_1","hot_dog_3","mushroom_8",5274
"2474","sub-220","cinnamon_roll_7","fried_chicken_7","hot_dog_3","cinnamon_roll_7",9398
"2475","sub-220","broccoli_7","cauliflower_3","ice_cream_1","ice_cream_1",1962
"2476","sub-220","popsicle_2","cinnamon_roll_7","ice_cream_1","cinnamon_roll_7",3167
"2477","sub-220","chocolate_candy_4","fried_chicken_7","hot_dog_3","chocolate_candy_4",3074
"2478","sub-220","mushroom_8","doughnut_6","muffin_8","mushroom_8",1440
"2479","sub-220","squash_6","pie_4","onion_ring_2","pie_4",9041
"2480","sub-220","apple_3","raspberry_2","bean_8","bean_8",3453
"2482","sub-220","candy_cane_5","cauliflower_3","soup_7","candy_cane_5",3981
"2483","sub-220","candy_cane_5","potato_6","ice_cream_1","potato_6",2319
"2484","sub-220","pineapple_6","mac_and_cheese_7","sausage_1","pineapple_6",2051
"2485","sub-220","soup_7","chocolate_candy_4","cinnamon_roll_7","soup_7",3531
"2486","sub-289","apple_3","candy_cane_5","bacon_2","bacon_2",20533
"2487","sub-289","gummy_bear_3","pineapple_6","fried_chicken_7","fried_chicken_7",5492
"2488","sub-289","cookie_7","crepe_2","pie_4","cookie_7",11272
"2489","sub-289","rice_5","squash_6","crepe_2","rice_5",7590
"2490","sub-289","bean_8","squash_6","chocolate_candy_4","squash_6",5122
"2491","sub-289","cookie_7","doughnut_6","onion_ring_2","onion_ring_2",17766
"2492","sub-289","jelly_bean_7","french_fries_5","grilled_cheese_4","jelly_bean_7",5021
"2493","sub-289","apple_3","potato_6","soup_7","soup_7",7850
"2494","sub-289","raspberry_2","cake_7","sausage_1","sausage_1",2539
"2495","sub-289","candy_cane_5","jelly_bean_7","chips_1","chips_1",4747
"2496","sub-289","candy_cane_5","cake_7","cinnamon_roll_7","cinnamon_roll_7",14145
"2497","sub-289","bean_8","tomato_1","cookie_7","tomato_1",7040
"2498","sub-289","cauliflower_3","chips_1","sausage_1","chips_1",5408
"2499","sub-289","potato_6","squash_6","french_fries_5","squash_6",21568
"2500","sub-289","raspberry_2","cauliflower_3","doughnut_6","doughnut_6",3839
"2502","sub-289","candy_cane_5","chips_1","mac_and_cheese_7","mac_and_cheese_7",16403
"2503","sub-289","broccoli_7","rice_5","hot_dog_3","broccoli_7",6057
"2504","sub-289","popsicle_2","watermelon_6","broccoli_7","broccoli_7",2677
"2505","sub-289","strawberry_1","doughnut_6","chips_1","strawberry_1",10182
"2506","sub-289","watermelon_6","cinnamon_roll_7","pie_4","cinnamon_roll_7",4164
"2508","sub-290","rice_5","cinnamon_roll_7","bacon_2","cinnamon_roll_7",4600
"2509","sub-290","apple_3","doughnut_6","ice_cream_1","apple_3",2438
"2510","sub-290","gummy_bear_3","bean_8","cinnamon_roll_7","gummy_bear_3",4483
"2511","sub-290","cookie_7","ice_cream_1","pie_4","cookie_7",5841
"2512","sub-290","rice_5","soup_7","mac_and_cheese_7","mac_and_cheese_7",5536
"2513","sub-290","potato_6","fried_chicken_7","sausage_1","potato_6",8485
"2514","sub-290","cauliflower_3","cake_7","sausage_1","cauliflower_3",7590
"2515","sub-290","popsicle_2","bean_8","squash_6","bean_8",5164
"2517","sub-290","gummy_bear_3","chocolate_candy_4","fried_chicken_7","fried_chicken_7",2411
"2518","sub-290","popsicle_2","cauliflower_3","crepe_2","cauliflower_3",2874
"2519","sub-290","soup_7","doughnut_6","grilled_cheese_4","soup_7",3945
"2520","sub-290","jelly_bean_7","watermelon_6","grilled_cheese_4","watermelon_6",2824
"2521","sub-290","bean_8","pie_4","hot_dog_3","hot_dog_3",6278
"2522","sub-290","candy_cane_5","rice_5","mac_and_cheese_7","rice_5",5731
"2523","sub-290","pineapple_6","raspberry_2","mushroom_8","mushroom_8",7552
"2524","sub-290","raspberry_2","cake_7","crepe_2","cake_7",9319
"2525","sub-290","candy_cane_5","mushroom_8","french_fries_5","mushroom_8",4953
"2526","sub-290","cauliflower_3","mushroom_8","french_fries_5","french_fries_5",2947
"2527","sub-290","strawberry_1","potato_6","squash_6","strawberry_1",3611
"2528","sub-290","squash_6","cinnamon_roll_7","onion_ring_2","squash_6",2790
"2552","sub-276","apple_3","mushroom_8","soup_7","soup_7",4061
"2553","sub-276","cookie_7","crepe_2","bacon_2","bacon_2",3892
"2554","sub-276","soup_7","fried_chicken_7","onion_ring_2","soup_7",2668
"2555","sub-276","candy_cane_5","cookie_7","bacon_2","candy_cane_5",3539
"2556","sub-276","pineapple_6","chocolate_candy_4","onion_ring_2","chocolate_candy_4",3709
"2557","sub-276","apple_3","bacon_2","french_fries_5","apple_3",2354
"2558","sub-276","apple_3","pie_4","sausage_1","sausage_1",3259
"2560","sub-276","candy_cane_5","pie_4","bacon_2","candy_cane_5",2758
"2561","sub-276","candy_cane_5","broccoli_7","tomato_1","candy_cane_5",2310
"2563","sub-276","apple_3","ice_cream_1","chips_1","apple_3",4767
"2564","sub-276","gummy_bear_3","popsicle_2","fried_chicken_7","fried_chicken_7",2003
"2565","sub-276","candy_cane_5","rice_5","muffin_8","candy_cane_5",2842
"2566","sub-276","candy_cane_5","gummy_bear_3","jelly_bean_7","candy_cane_5",2230
"2567","sub-276","candy_cane_5","rice_5","soup_7","candy_cane_5",1461
"2568","sub-276","cauliflower_3","soup_7","chocolate_candy_4","chocolate_candy_4",2299
"2569","sub-276","doughnut_6","ice_cream_1","sausage_1","sausage_1",3719
"2570","sub-276","cauliflower_3","soup_7","crepe_2","crepe_2",1762
"2571","sub-276","cinnamon_roll_7","fried_chicken_7","sausage_1","cinnamon_roll_7",2984
"2572","sub-276","strawberry_1","cauliflower_3","sausage_1","sausage_1",2177
"2573","sub-276","strawberry_1","cake_7","fried_chicken_7","fried_chicken_7",2080
"2574","sub-291","potato_6","cookie_7","doughnut_6","potato_6",9651
"2575","sub-291","cauliflower_3","rice_5","hot_dog_3","hot_dog_3",7942
"2576","sub-291","broccoli_7","ice_cream_1","chips_1","broccoli_7",10154
"2577","sub-291","broccoli_7","doughnut_6","grilled_cheese_4","broccoli_7",6811
"2578","sub-291","candy_cane_5","gummy_bear_3","cookie_7","cookie_7",4247
"2579","sub-291","apple_3","squash_6","fried_chicken_7","fried_chicken_7",2909
"2581","sub-291","gummy_bear_3","cauliflower_3","bacon_2","gummy_bear_3",8155
"2582","sub-291","popsicle_2","strawberry_1","chips_1","strawberry_1",30126
"2583","sub-291","apple_3","squash_6","mac_and_cheese_7","mac_and_cheese_7",3102
"2584","sub-291","popsicle_2","raspberry_2","french_fries_5","raspberry_2",6570
"2585","sub-291","apple_3","tomato_1","chocolate_candy_4","chocolate_candy_4",2302
"2586","sub-291","watermelon_6","bean_8","bacon_2","bacon_2",5209
"2587","sub-291","squash_6","doughnut_6","ice_cream_1","squash_6",13837
"2588","sub-291","squash_6","grilled_cheese_4","hot_dog_3","squash_6",2389
"2589","sub-291","broccoli_7","cauliflower_3","cinnamon_roll_7","cinnamon_roll_7",8368
"2590","sub-291","candy_cane_5","broccoli_7","sausage_1","candy_cane_5",5031
"2591","sub-291","cake_7","chocolate_candy_4","doughnut_6","chocolate_candy_4",3865
"2592","sub-291","chocolate_candy_4","chips_1","fried_chicken_7","chocolate_candy_4",25700
"2593","sub-291","potato_6","cinnamon_roll_7","mac_and_cheese_7","potato_6",4656
"2595","sub-291","watermelon_6","ice_cream_1","pie_4","watermelon_6",5159
"2618","sub-292","gummy_bear_3","cauliflower_3","soup_7","gummy_bear_3",2978
"2619","sub-292","gummy_bear_3","muffin_8","fried_chicken_7","fried_chicken_7",4250
"2620","sub-292","apple_3","cinnamon_roll_7","cookie_7","apple_3",2236
"2621","sub-292","potato_6","crepe_2","ice_cream_1","potato_6",2853
"2622","sub-292","chocolate_candy_4","cinnamon_roll_7","cookie_7","cinnamon_roll_7",1982
"2623","sub-292","cauliflower_3","rice_5","squash_6","rice_5",3111
"2624","sub-292","broccoli_7","squash_6","onion_ring_2","onion_ring_2",1419
"2625","sub-292","muffin_8","french_fries_5","onion_ring_2","muffin_8",1802
"2626","sub-292","soup_7","grilled_cheese_4","sausage_1","soup_7",5547
"2627","sub-292","tomato_1","pie_4","onion_ring_2","onion_ring_2",1447
"2628","sub-292","potato_6","ice_cream_1","fried_chicken_7","potato_6",2386
"2629","sub-292","apple_3","mushroom_8","squash_6","apple_3",1977
"2630","sub-292","strawberry_1","fried_chicken_7","onion_ring_2","strawberry_1",1372
"2632","sub-292","doughnut_6","muffin_8","chips_1","chips_1",3374
"2633","sub-292","popsicle_2","cake_7","french_fries_5","french_fries_5",2470
"2634","sub-292","gummy_bear_3","french_fries_5","mac_and_cheese_7","gummy_bear_3",2864
"2635","sub-292","ice_cream_1","chips_1","sausage_1","ice_cream_1",1755
"2636","sub-292","muffin_8","fried_chicken_7","mac_and_cheese_7","muffin_8",1667
"2638","sub-292","candy_cane_5","bean_8","grilled_cheese_4","candy_cane_5",6339
"2639","sub-292","jelly_bean_7","muffin_8","hot_dog_3","hot_dog_3",1704
"2640","sub-293","jelly_bean_7","chocolate_candy_4","crepe_2","jelly_bean_7",10813
"2641","sub-293","watermelon_6","cookie_7","muffin_8","muffin_8",3595
"2643","sub-293","apple_3","cauliflower_3","ice_cream_1","apple_3",5529
"2644","sub-293","cauliflower_3","squash_6","cake_7","cake_7",7278
"2645","sub-293","candy_cane_5","potato_6","muffin_8","muffin_8",6591
"2646","sub-293","jelly_bean_7","cauliflower_3","onion_ring_2","jelly_bean_7",4723
"2647","sub-293","apple_3","mushroom_8","doughnut_6","apple_3",2411
"2648","sub-293","watermelon_6","ice_cream_1","sausage_1","watermelon_6",2631
"2649","sub-293","squash_6","tomato_1","hot_dog_3","squash_6",17749
"2650","sub-293","squash_6","cake_7","pie_4","cake_7",2295
"2651","sub-293","potato_6","soup_7","mac_and_cheese_7","potato_6",3661
"2652","sub-293","watermelon_6","broccoli_7","rice_5","rice_5",2446
"2653","sub-293","ice_cream_1","bacon_2","fried_chicken_7","ice_cream_1",2542
"2654","sub-293","apple_3","gummy_bear_3","muffin_8","apple_3",1566
"2656","sub-293","rice_5","crepe_2","onion_ring_2","rice_5",4787
"2657","sub-293","candy_cane_5","jelly_bean_7","raspberry_2","jelly_bean_7",3544
"2658","sub-293","cauliflower_3","tomato_1","chocolate_candy_4","tomato_1",4090
"2659","sub-293","popsicle_2","ice_cream_1","muffin_8","muffin_8",8725
"2660","sub-293","jelly_bean_7","squash_6","ice_cream_1","ice_cream_1",5501
"2661","sub-293","popsicle_2","crepe_2","hot_dog_3","popsicle_2",6544
"2662","sub-294","gummy_bear_3","pie_4","onion_ring_2","onion_ring_2",3630
"2663","sub-294","jelly_bean_7","broccoli_7","mac_and_cheese_7","jelly_bean_7",5673
"2664","sub-294","jelly_bean_7","doughnut_6","french_fries_5","french_fries_5",2717
"2665","sub-294","cinnamon_roll_7","doughnut_6","pie_4","pie_4",3597
"2666","sub-294","cake_7","bacon_2","onion_ring_2","cake_7",4650
"2667","sub-294","squash_6","crepe_2","bacon_2","squash_6",5256
"2668","sub-294","apple_3","cauliflower_3","crepe_2","crepe_2",4955
"2670","sub-294","candy_cane_5","pineapple_6","squash_6","candy_cane_5",3664
"2671","sub-294","apple_3","strawberry_1","doughnut_6","doughnut_6",2345
"2672","sub-294","cauliflower_3","mushroom_8","chips_1","chips_1",3039
"2673","sub-294","strawberry_1","watermelon_6","cookie_7","cookie_7",2379
"2674","sub-294","bean_8","squash_6","mac_and_cheese_7","bean_8",4930
"2676","sub-294","raspberry_2","mushroom_8","fried_chicken_7","raspberry_2",4325
"2677","sub-294","gummy_bear_3","squash_6","bacon_2","gummy_bear_3",2637
"2678","sub-294","strawberry_1","soup_7","chocolate_candy_4","chocolate_candy_4",3909
"2679","sub-294","doughnut_6","french_fries_5","grilled_cheese_4","doughnut_6",3085
"2680","sub-294","broccoli_7","squash_6","crepe_2","crepe_2",6288
"2681","sub-294","cake_7","pie_4","onion_ring_2","onion_ring_2",2729
"2682","sub-294","potato_6","ice_cream_1","sausage_1","ice_cream_1",5975
"2683","sub-294","popsicle_2","squash_6","cake_7","squash_6",2566
"2686","sub-295","jelly_bean_7","pineapple_6","grilled_cheese_4","grilled_cheese_4",4859
"2687","sub-295","strawberry_1","cake_7","mac_and_cheese_7","mac_and_cheese_7",5891
"2688","sub-295","soup_7","doughnut_6","french_fries_5","doughnut_6",4864
"2689","sub-295","popsicle_2","bean_8","mac_and_cheese_7","bean_8",3673
"2690","sub-295","cinnamon_roll_7","crepe_2","bacon_2","bacon_2",2752
"2691","sub-295","gummy_bear_3","popsicle_2","potato_6","potato_6",2300
"2692","sub-295","cinnamon_roll_7","ice_cream_1","hot_dog_3","hot_dog_3",2548
"2693","sub-295","pineapple_6","french_fries_5","onion_ring_2","pineapple_6",2154
"2694","sub-295","strawberry_1","bean_8","muffin_8","bean_8",4480
"2695","sub-295","bean_8","chocolate_candy_4","ice_cream_1","bean_8",1725
"2696","sub-295","rice_5","tomato_1","mac_and_cheese_7","tomato_1",2599
"2697","sub-295","candy_cane_5","watermelon_6","bean_8","bean_8",3865
"2698","sub-295","apple_3","watermelon_6","ice_cream_1","ice_cream_1",1790
"2699","sub-295","jelly_bean_7","strawberry_1","ice_cream_1","jelly_bean_7",3713
"2700","sub-295","jelly_bean_7","raspberry_2","mac_and_cheese_7","mac_and_cheese_7",3181
"2701","sub-295","pineapple_6","potato_6","fried_chicken_7","pineapple_6",4623
"2702","sub-295","gummy_bear_3","watermelon_6","bacon_2","watermelon_6",1948
"2703","sub-295","candy_cane_5","potato_6","crepe_2","potato_6",3316
"2704","sub-295","squash_6","crepe_2","sausage_1","crepe_2",4933
"2705","sub-295","pineapple_6","cauliflower_3","rice_5","pineapple_6",2435
"2706","sub-296","gummy_bear_3","squash_6","sausage_1","gummy_bear_3",5563
"2707","sub-296","candy_cane_5","ice_cream_1","grilled_cheese_4","grilled_cheese_4",3097
"2709","sub-296","squash_6","cinnamon_roll_7","grilled_cheese_4","squash_6",2408
"2710","sub-296","jelly_bean_7","pineapple_6","bacon_2","jelly_bean_7",9191
"2711","sub-296","watermelon_6","crepe_2","muffin_8","watermelon_6",2386
"2712","sub-296","jelly_bean_7","bacon_2","french_fries_5","jelly_bean_7",2653
"2713","sub-296","watermelon_6","pie_4","grilled_cheese_4","watermelon_6",3331
"2714","sub-296","cauliflower_3","cinnamon_roll_7","ice_cream_1","cauliflower_3",3406
"2715","sub-296","soup_7","french_fries_5","fried_chicken_7","soup_7",2815
"2716","sub-296","rice_5","tomato_1","sausage_1","tomato_1",3764
"2717","sub-296","candy_cane_5","popsicle_2","soup_7","soup_7",2847
"2719","sub-296","muffin_8","pie_4","grilled_cheese_4","grilled_cheese_4",10188
"2720","sub-296","raspberry_2","potato_6","grilled_cheese_4","grilled_cheese_4",3586
"2721","sub-296","apple_3","strawberry_1","broccoli_7","broccoli_7",2625
"2722","sub-296","bean_8","tomato_1","hot_dog_3","tomato_1",10386
"2723","sub-296","strawberry_1","cauliflower_3","doughnut_6","doughnut_6",2897
"2724","sub-296","popsicle_2","cinnamon_roll_7","cookie_7","popsicle_2",2210
"2725","sub-296","broccoli_7","cauliflower_3","onion_ring_2","onion_ring_2",2030
"2726","sub-296","rice_5","fried_chicken_7","sausage_1","rice_5",1932
"2727","sub-296","strawberry_1","broccoli_7","muffin_8","muffin_8",2518
"2750","sub-297","apple_3","bean_8","fried_chicken_7","apple_3",9681
"2751","sub-297","candy_cane_5","potato_6","sausage_1","candy_cane_5",5829
"2753","sub-297","pineapple_6","raspberry_2","rice_5","rice_5",2206
"2754","sub-297","watermelon_6","rice_5","chocolate_candy_4","rice_5",6716
"2755","sub-297","broccoli_7","tomato_1","onion_ring_2","onion_ring_2",3749
"2756","sub-297","candy_cane_5","cinnamon_roll_7","cookie_7","candy_cane_5",3111
"2758","sub-297","jelly_bean_7","chocolate_candy_4","pie_4","chocolate_candy_4",13891
"2759","sub-297","bean_8","tomato_1","doughnut_6","doughnut_6",6411
"2760","sub-297","gummy_bear_3","squash_6","hot_dog_3","gummy_bear_3",10222
"2761","sub-297","broccoli_7","fried_chicken_7","hot_dog_3","broccoli_7",4306
"2762","sub-297","broccoli_7","chocolate_candy_4","cookie_7","broccoli_7",2044
"2763","sub-297","crepe_2","french_fries_5","mac_and_cheese_7","crepe_2",4027
"2764","sub-297","tomato_1","cookie_7","sausage_1","cookie_7",6566
"2765","sub-297","strawberry_1","watermelon_6","muffin_8","muffin_8",5954
"2766","sub-297","strawberry_1","pie_4","french_fries_5","french_fries_5",1769
"2767","sub-297","broccoli_7","squash_6","muffin_8","muffin_8",2368
"2768","sub-297","candy_cane_5","popsicle_2","mushroom_8","mushroom_8",1727
"2769","sub-297","popsicle_2","potato_6","cookie_7","potato_6",1581
"2770","sub-297","popsicle_2","fried_chicken_7","grilled_cheese_4","popsicle_2",2556
"2771","sub-297","mushroom_8","cake_7","sausage_1","cake_7",3412
"2772","sub-298","pineapple_6","mushroom_8","hot_dog_3","hot_dog_3",300
"2773","sub-298","pineapple_6","cinnamon_roll_7","grilled_cheese_4","pineapple_6",3961
"2774","sub-298","apple_3","jelly_bean_7","popsicle_2","apple_3",1833
"2775","sub-298","pineapple_6","raspberry_2","cookie_7","cookie_7",1812
"2776","sub-298","popsicle_2","french_fries_5","sausage_1","popsicle_2",6127
"2777","sub-298","watermelon_6","doughnut_6","pie_4","watermelon_6",1649
"2778","sub-298","cake_7","crepe_2","bacon_2","bacon_2",3362
"2779","sub-298","jelly_bean_7","bean_8","crepe_2","bean_8",7498
"2780","sub-298","apple_3","pineapple_6","sausage_1","sausage_1",4339
"2781","sub-298","strawberry_1","cinnamon_roll_7","pie_4","strawberry_1",2698
"2782","sub-298","cookie_7","ice_cream_1","muffin_8","ice_cream_1",2024
"2783","sub-298","bean_8","soup_7","bacon_2","bacon_2",5180
"2784","sub-298","raspberry_2","rice_5","cake_7","rice_5",6647
"2785","sub-298","strawberry_1","cauliflower_3","tomato_1","cauliflower_3",4578
"2786","sub-298","cauliflower_3","potato_6","muffin_8","muffin_8",3385
"2787","sub-298","gummy_bear_3","soup_7","grilled_cheese_4","gummy_bear_3",28748
"2788","sub-298","apple_3","cinnamon_roll_7","muffin_8","apple_3",5873
"2789","sub-298","pineapple_6","fried_chicken_7","onion_ring_2","pineapple_6",1875
"2791","sub-298","tomato_1","cookie_7","french_fries_5","tomato_1",3491
"2792","sub-298","popsicle_2","strawberry_1","fried_chicken_7","fried_chicken_7",3848
"2794","sub-299","broccoli_7","potato_6","onion_ring_2","onion_ring_2",9396
"2795","sub-299","gummy_bear_3","potato_6","ice_cream_1","potato_6",8552
"2796","sub-299","gummy_bear_3","broccoli_7","crepe_2","broccoli_7",3771
"2797","sub-299","jelly_bean_7","mushroom_8","bacon_2","jelly_bean_7",18209
"2798","sub-299","apple_3","bean_8","broccoli_7","apple_3",4970
"2800","sub-299","watermelon_6","rice_5","doughnut_6","doughnut_6",7992
"2801","sub-299","pineapple_6","doughnut_6","muffin_8","pineapple_6",4278
"2802","sub-299","candy_cane_5","french_fries_5","grilled_cheese_4","candy_cane_5",4642
"2803","sub-299","strawberry_1","french_fries_5","grilled_cheese_4","strawberry_1",2713
"2804","sub-299","watermelon_6","chocolate_candy_4","cookie_7","watermelon_6",3222
"2805","sub-299","popsicle_2","tomato_1","cake_7","tomato_1",3033
"2806","sub-299","potato_6","soup_7","squash_6","soup_7",3731
"2807","sub-299","gummy_bear_3","popsicle_2","strawberry_1","strawberry_1",4406
"2809","sub-299","watermelon_6","cake_7","ice_cream_1","watermelon_6",3379
"2810","sub-299","pineapple_6","strawberry_1","cauliflower_3","cauliflower_3",2848
"2811","sub-299","jelly_bean_7","chips_1","mac_and_cheese_7","jelly_bean_7",6488
"2812","sub-299","potato_6","cinnamon_roll_7","bacon_2","potato_6",4251
"2813","sub-299","jelly_bean_7","cauliflower_3","doughnut_6","cauliflower_3",3551
"2814","sub-299","raspberry_2","squash_6","cake_7","cake_7",4630
"2815","sub-299","raspberry_2","cauliflower_3","pie_4","pie_4",7735
"2816","sub-300","strawberry_1","soup_7","french_fries_5","strawberry_1",6208
"2817","sub-300","raspberry_2","strawberry_1","cake_7","cake_7",5706
"2818","sub-300","candy_cane_5","chocolate_candy_4","cinnamon_roll_7","cinnamon_roll_7",6031
"2819","sub-300","soup_7","tomato_1","fried_chicken_7","tomato_1",2741
"2820","sub-300","cake_7","cinnamon_roll_7","doughnut_6","cake_7",66956
"2822","sub-300","raspberry_2","doughnut_6","muffin_8","raspberry_2",4497
"2823","sub-300","candy_cane_5","cookie_7","pie_4","candy_cane_5",2691
"2824","sub-300","cauliflower_3","doughnut_6","grilled_cheese_4","cauliflower_3",3660
"2825","sub-300","cauliflower_3","potato_6","crepe_2","crepe_2",8642
"2826","sub-300","watermelon_6","doughnut_6","bacon_2","watermelon_6",4710
"2827","sub-300","bean_8","muffin_8","chips_1","bean_8",30859
"2828","sub-300","gummy_bear_3","rice_5","muffin_8","rice_5",4623
"2829","sub-300","chocolate_candy_4","cookie_7","muffin_8","chocolate_candy_4",3761
"2830","sub-300","squash_6","ice_cream_1","fried_chicken_7","squash_6",14320
"2831","sub-300","strawberry_1","cake_7","onion_ring_2","strawberry_1",2214
"2832","sub-300","strawberry_1","french_fries_5","sausage_1","strawberry_1",3230
"2833","sub-300","candy_cane_5","cauliflower_3","cinnamon_roll_7","cauliflower_3",23423
"2834","sub-300","popsicle_2","bean_8","fried_chicken_7","popsicle_2",1794
"2836","sub-300","cauliflower_3","cake_7","chips_1","cauliflower_3",2370
"2837","sub-300","popsicle_2","cauliflower_3","soup_7","cauliflower_3",4869
"2838","sub-301","watermelon_6","bean_8","rice_5","rice_5",1240
"2839","sub-301","candy_cane_5","chocolate_candy_4","doughnut_6","chocolate_candy_4",2669
"2840","sub-301","popsicle_2","chocolate_candy_4","french_fries_5","chocolate_candy_4",2567
"2841","sub-301","jelly_bean_7","raspberry_2","potato_6","potato_6",2639
"2842","sub-301","squash_6","tomato_1","bacon_2","bacon_2",2213
"2843","sub-301","cauliflower_3","fried_chicken_7","grilled_cheese_4","cauliflower_3",1448
"2844","sub-301","popsicle_2","mushroom_8","doughnut_6","doughnut_6",2487
"2845","sub-301","cauliflower_3","doughnut_6","chips_1","cauliflower_3",1522
"2846","sub-301","apple_3","doughnut_6","french_fries_5","apple_3",1881
"2847","sub-301","french_fries_5","hot_dog_3","mac_and_cheese_7","hot_dog_3",1509
"2848","sub-301","jelly_bean_7","strawberry_1","cookie_7","strawberry_1",2529
"2849","sub-301","gummy_bear_3","soup_7","sausage_1","gummy_bear_3",1644
"2851","sub-301","mushroom_8","pie_4","fried_chicken_7","pie_4",1749
"2852","sub-301","raspberry_2","muffin_8","pie_4","raspberry_2",2015
"2853","sub-301","raspberry_2","watermelon_6","cake_7","raspberry_2",1557
"2854","sub-301","broccoli_7","french_fries_5","mac_and_cheese_7","broccoli_7",2082
"2855","sub-301","apple_3","crepe_2","pie_4","apple_3",1804
"2857","sub-301","strawberry_1","cinnamon_roll_7","cookie_7","strawberry_1",2191
"2858","sub-301","gummy_bear_3","hot_dog_3","sausage_1","gummy_bear_3",1424
"2859","sub-301","gummy_bear_3","hot_dog_3","onion_ring_2","gummy_bear_3",1436
"2860","sub-302","pineapple_6","potato_6","rice_5","pineapple_6",4236
"2862","sub-302","cinnamon_roll_7","french_fries_5","mac_and_cheese_7","cinnamon_roll_7",3571
"2864","sub-302","rice_5","bacon_2","mac_and_cheese_7","bacon_2",2851
"2865","sub-302","strawberry_1","rice_5","cookie_7","rice_5",4589
"2866","sub-302","tomato_1","crepe_2","sausage_1","sausage_1",8283
"2867","sub-302","watermelon_6","broccoli_7","sausage_1","sausage_1",3114
"2868","sub-302","popsicle_2","soup_7","squash_6","popsicle_2",2869
"2869","sub-302","pineapple_6","watermelon_6","pie_4","pie_4",2871
"2870","sub-302","pineapple_6","bacon_2","chips_1","pineapple_6",2832
"2871","sub-302","soup_7","tomato_1","grilled_cheese_4","tomato_1",3845
"2872","sub-302","apple_3","soup_7","ice_cream_1","soup_7",4443
"2873","sub-302","cauliflower_3","cookie_7","onion_ring_2","cauliflower_3",2319
"2874","sub-302","cake_7","crepe_2","mac_and_cheese_7","mac_and_cheese_7",3905
"2875","sub-302","gummy_bear_3","doughnut_6","chips_1","chips_1",4436
"2876","sub-302","cookie_7","fried_chicken_7","mac_and_cheese_7","mac_and_cheese_7",3703
"2877","sub-302","strawberry_1","mushroom_8","crepe_2","mushroom_8",4918
"2878","sub-302","apple_3","ice_cream_1","hot_dog_3","apple_3",2364
"2879","sub-302","mushroom_8","crepe_2","muffin_8","mushroom_8",3902
"2880","sub-302","potato_6","crepe_2","chips_1","crepe_2",2501
"2881","sub-302","tomato_1","grilled_cheese_4","mac_and_cheese_7","tomato_1",1948
"2882","sub-252","cake_7","ice_cream_1","muffin_8","ice_cream_1",7814
